sim,success,wind_x,wind_y,wind_z,p0_x,p0_y,p0_z,v0_x,v0_y,v0_z,true_ap,ekf_ap,rmse,rmsex,rmsey,rmsez,target
21,1,2.0569558270389097,4.130993710587539,0.16656848011404768,0.0,0.0,154.98937768028335,4.825303147678351,-2.791843247575887,53.896617780974864,249.81271689417014,250.08707797131748,0.28070858209226873,0.023061441274854846,0.20746813710601927,0.18767645050015305,250.0
22,1,-2.3065814743849145,0.41649757035423995,0.36775519362291076,0.0,0.0,151.79771673898642,-3.3457462936064486,-4.149282962357415,50.629803445622976,249.91789599727565,250.0040500885177,0.13615817051921209,0.012630954226174435,0.08246259450358961,0.10760774554934076,250.0
23,1,-0.6025875235996638,2.802918044875878,-0.30845177062208906,0.0,0.0,151.23265306430724,-4.097093794206241,-4.341683670396831,53.27681591920357,249.66460596224496,249.84895477523625,0.20849322189765598,0.056845761830282324,0.13630715999643297,0.14716773108567943,250.0
24,1,-0.11637733741754808,4.784772937807208,0.34644663615899696,0.0,0.0,151.68290678164536,-4.9696075585283195,0.7195318265209929,50.637030459569026,249.78228260454293,249.98084009225542,0.13444178948323007,0.06075770634405376,0.025684535106404307,0.11714691859212842,250.0
25,1,3.2985805258797143,1.2138674361680888,-0.25629348042983324,0.0,0.0,152.9523905424461,-4.519985199590338,3.312174659172264,54.6292955260099,249.81502883381617,250.08121033592272,0.1070985840385867,0.03953480534632076,0.008179454126233032,0.09919779432777522,250.0
26,1,1.1574911290661287,1.343236575398028,0.3292631701427784,0.0,0.0,153.52007451526185,-4.643417427781037,-0.4601751056489958,54.78039958654221,249.88284697002956,250.00146763545283,0.14417511224967045,0.03612420289552215,0.0844933608212595,0.11109625076705636,250.0
27,1,2.164386571048631,-2.435651105627504,-0.29444199156087425,0.0,0.0,153.26071469019132,4.946304821138293,-2.242051477265438,52.75181637213134,249.90614317443678,250.02774824541876,0.1300101621139093,0.06630583039631405,0.02117175641672974,0.10980863280530759,250.0
28,1,2.3038049993904197,-4.015560037986761,0.38633582302825276,0.0,0.0,153.90010361235758,-4.991327356706372,-4.498593784369477,52.15111107820374,249.90859117117097,250.0370212174722,0.16196119903985032,0.05285316880590019,0.02062432500894488,0.15169907633049867,250.0
29,1,-1.908391581300032,-4.413395275467997,0.11948796953236429,0.0,0.0,154.71509077025542,4.1166568092206415,4.267878145653544,53.44466334431389,249.95546370309802,250.06677940105237,0.16932435549386762,0.008099214874952078,0.13762512118558234,0.09830801646090107,250.0
30,1,-1.253541914128009,0.8730975161129493,-0.49196658333503307,0.0,0.0,153.42233121274668,-3.428899179727023,-1.7055538023362002,53.8840235904918,249.94570766229998,249.91704953583758,0.07183207106086177,0.00894185238971967,0.019747485078243157,0.06848303835124224,250.0
31,1,0.307733692544204,0.326783851798119,0.13029962699782538,0.0,0.0,151.61924770745708,-3.1444624213963044,1.8187936595320773,52.5263407954145,249.7687705267274,249.9646312523933,0.13405900255177605,0.014904011005533001,0.035921319406112706,0.1282939805027815,250.0
32,1,0.44898318801202564,-3.529707774037736,-0.14620776794265955,0.0,0.0,151.79311982706585,-4.922056802759438,1.453384834795786,54.89443670954193,249.74937031270142,249.79676516563197,0.12719117905242888,0.01187237562351164,0.09693949861786692,0.0814823682370477,250.0
33,1,2.1364879955021268,-2.09650314825352,-0.45559423800832544,0.0,0.0,154.78048413331086,4.269175650596285,1.478561910379085,53.33964442071179,249.79914400593296,249.90421554861055,0.13707559629121277,0.017375180303275964,0.07737963055863888,0.11180436030239951,250.0
34,1,0.2632333219961325,3.026739076564132,-0.25149561381220586,0.0,0.0,154.52186497104023,1.8438021403082594,-0.06215618697681702,50.83685075050501,249.85143397078159,250.0881996822577,0.18628452286252145,0.07626076090654535,0.10159398646696967,0.1362530062707652,250.0
35,1,4.822323578910947,-1.7902266874344805,0.48687315427691613,0.0,0.0,151.95139834918655,3.3882154644067537,-1.3779740141000962,52.125353060530244,249.7791449339412,249.7081261071575,0.1511100519882202,0.0866808157422653,0.07182459458257079,0.100806307377998,250.0
36,1,-3.8351833369516752,-1.7727370833793286,0.1690285058187635,0.0,0.0,152.07409727167897,-1.0904369293649827,-2.94235582762553,52.47135329433915,249.8981039700877,249.94547815203322,0.14062756631130105,0.043730895473781346,0.07973528148467365,0.10726605275789933,250.0
37,1,-3.121790111449576,-2.9961256742641487,-0.22516932471620044,0.0,0.0,153.25620359942744,-0.49437378040346935,3.9129406737893415,53.95232864275439,249.81704136384548,249.98935442304705,0.23305625240082437,0.06068886231597598,0.19782622885196516,0.10722342072569388,250.0
38,1,-4.4374129011065175,-3.7336258444350143,0.19762630904273903,0.0,0.0,152.47510677786886,-0.9253901619336169,-3.860112825615248,53.06013742824257,249.87742104789774,250.1394266751253,0.14128845530187842,0.04694673982553153,0.03968963464029131,0.12721306585199862,250.0
39,1,-4.611116768918432,2.2235103859213634,0.4155715852170567,0.0,0.0,151.21924650321168,3.5702256171996876,-3.1313469998594226,50.951800923338666,249.85472841464565,249.91400721182572,0.24942668920601832,0.09646828531376633,0.2180149363160424,0.0733282398534794,250.0
40,1,-4.802940540403774,-4.11202572493891,-0.44292881592716915,0.0,0.0,152.65763561699478,-1.29488048495072,4.050209502358372,54.73453724967147,249.69948808885252,249.75509921546643,0.14185387082979423,0.03450050235325826,0.04184176239204314,0.13107823208563876,250.0
